Region,District or Woredas,Zone,Remarks
Oromia Region,Doba (woreda),West Hararghe Zone,
Oromia Region,Guba Koricha,West Hararghe Zone,
Oromia Region,Habro,West Hararghe Zone,
Oromia Region,Kuni (woreda),West Hararghe Zone,
Oromia Region,Mesela (woreda),West Hararghe Zone,
Oromia Region,Mieso,West Hararghe Zone,
Oromia Region,Tulo,West Hararghe Zone,
Oromia Region,Abuna Ginde Beret,West Shewa Zone,
Oromia Region,Adda Berga,West Shewa Zone,
Oromia Region,Ambo (town),West Shewa Zone,
Oromia Region,Ambo (woreda),West Shewa Zone,
Oromia Region,Bako Tibe,West Shewa Zone,
Oromia Region,Cheliya,West Shewa Zone,
Oromia Region,Dano (woreda),West Shewa Zone,
Oromia Region,Dendi (woreda),West Shewa Zone,
Oromia Region,Ejerie (sometimes known as Addis Alem),West Shewa Zone,
Oromia Region,Elfata,West Shewa Zone,
Oromia Region,Ginde Beret,West Shewa Zone,
Oromia Region,Jeldu,West Shewa Zone,
Oromia Region,Jibat,West Shewa Zone,
Oromia Region,Meta Robi,West Shewa Zone,
Oromia Region,Midakegn,West Shewa Zone,
Oromia Region,Nono (Shewa),West Shewa Zone,
Oromia Region,Tikur Enchini,West Shewa Zone,
Oromia Region,Toke Kutaye,West Shewa Zone,
Oromia Region,Ayra (woreda),West Welega Zone,
Oromia Region,Babo Gambela,West Welega Zone,
Oromia Region,Begi,West Welega Zone,
Oromia Region,Boji Chokorsa,West Welega Zone,
Oromia Region,Boji Dirmaji,West Welega Zone,
Oromia Region,Genji (woreda),West Welega Zone,
Oromia Region,Gimbi (woreda),West Welega Zone,
Oromia Region,Gimbi (town),West Welega Zone,
Oromia Region,Guliso,West Welega Zone,
Oromia Region,Haru (woreda),West Welega Zone,
Oromia Region,Homa (woreda),West Welega Zone,
Oromia Region,Jarso (Welega),West Welega Zone,
Oromia Region,Kondala,West Welega Zone,
Oromia Region,Kiltu Kara (woreda),West Welega Zone,
Oromia Region,Lalo Asabi,West Welega Zone,
Oromia Region,Mana Sibu,West Welega Zone,
Oromia Region,Nejo (woreda),West Welega Zone,
Oromia Region,Nole Kaba,West Welega Zone,
Oromia Region,Sayo Nole,West Welega Zone,
Oromia Region,Yubdo (woreda),West Welega Zone,
Oromia Region,Adama,Adama Special Zone,
Oromia Region,Jimma,Jimma Special Zone,
Oromia Region,Akaki,Oromia Special Zone Surrounding Finfinne,
Oromia Region,Bereh,Oromia Special Zone Surrounding Finfinne,
Oromia Region,Burayu (town),Oromia Special Zone Surrounding Finfinne,
Oromia Region,Holeta Genet (town),Oromia Special Zone Surrounding Finfinne,
Oromia Region,Mulo (woreda),Oromia Special Zone Surrounding Finfinne,
Oromia Region,Sebeta Hawas (formerly known as Alem Gena),Oromia Special Zone Surrounding Finfinne,
Oromia Region,Sebeta (town),Oromia Special Zone Surrounding Finfinne,
Oromia Region,Sendafa (town),Oromia Special Zone Surrounding Finfinne,
Oromia Region,Walmara,Oromia Special Zone Surrounding Finfinne,
Somali Region,Afder (woreda),Afder Zone,
Somali Region,Bare (woreda),Afder Zone,
Somali Region,Cherti (woreda),Afder Zone,
Somali Region,Dolobay,Afder Zone,
Somali Region,Elekere,Afder Zone,
Somali Region,Goro Bekeksa,Afder Zone,
Somali Region,Guradamole,Afder Zone,
Somali Region,Kersa Dula,Afder Zone,
Somali Region,Mirab Imi,Afder Zone,
Somali Region,Aware (woreda),Degehabur Zone,
Somali Region,Degehabur (woreda),Degehabur Zone,
Somali Region,Degehamedo (woreda),Degehabur Zone,
Somali Region,Gunagadow,Degehabur Zone,
Somali Region,Misraq Gashamo,Degehabur Zone,
Somali Region,Dihun,Fiq Zone,
Somali Region,Fiq (woreda),Fiq Zone,
Somali Region,Gerbo (woreda),Fiq Zone,
Somali Region,Hamero (woreda),Fiq Zone,
Somali Region,Lagahida,Fiq Zone,
Somali Region,Mayumuluka,Fiq Zone,
Somali Region,Salahad,Fiq Zone,
Somali Region,Segeg (woreda),Fiq Zone,
Somali Region,Adadle,Gode Zone,
Somali Region,Danan (woreda),Gode Zone,
Somali Region,Ferfer (woreda),Gode Zone,
Somali Region,[ Armali Fiqi Omar]],Gode Zone,
Somali Region,Gode (woreda),Gode Zone,
Somali Region,Imiberi,Gode Zone,
Somali Region,Qorof,Gode Zone,
Somali Region,Kelafo (woreda),Gode Zone,
Somali Region,Mustahil (woreda),Gode Zone,
Somali Region,Ajersagora,Jijiga Zone,
Somali Region,Awbere (woreda),Jijiga Zone,
Somali Region,Babille,Jijiga Zone,
Somali Region,Gursum,Jijiga Zone,
Somali Region,Harshin (woreda),Jijiga Zone,
Somali Region,Jijiga (woreda),Jijiga Zone,
Somali Region,Kebri Beyah (woreda),Jijiga Zone,
Somali Region,Debeweyin,Korahe Zone,
Somali Region,Kebri Dahar (woreda),Korahe Zone,
Somali Region,Shekosh (woreda),Korahe Zone,
Somali Region,Shilavo (woreda),Korahe Zone,
Somali Region,Dolo Odo,Liben Zone,
Somali Region,Filtu (woreda) (formley known as Liben),Liben Zone,
Somali Region,Moyale,Liben Zone,
Somali Region,Udet (woreda),Liben Zone,
Somali Region,Afdem (woreda),Shinile Zone,
Somali Region,Ayesha (woreda),Shinile Zone,
Somali Region,Dembel (woreda),Shinile Zone,
Somali Region,Erer (woreda),Shinile Zone,
Somali Region,"Mieso, Somali (woreda)",Shinile Zone,
Somali Region,Shinile (woreda),Shinile Zone,
Somali Region,Boh (woreda),Werder Zone,
Somali Region,Danot (woreda),Werder Zone,
Somali Region,Geladin (woreda),Werder Zone,
Somali Region,Werder (woreda),Werder Zone,
"Southern Nations, Nationalities, and Peoples' Region",Awasa (woreda),--,Defunct district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Badawacho,--,Defunct district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Bena Tsemay,--,Defunct district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Bench (woreda),--,Defunct district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Boreda Abaya,--,Defunct district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Dita Dermalo,--,Defunct district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Goro,--,Defunct district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Hamer Bena,--,Defunct district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Isara Tocha,--,Defunct district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Konteb,--,Defunct district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Loma Bosa,--,Defunct district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Mareka Gena,--,Defunct district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Masha Anderacha,--,Defunct district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Meskanena Mareko,--,Defunct district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Meinit,--,Defunct district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Omo Sheleko,--,Defunct district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Zala Ubamale,--,Defunct district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Alaba Special Woreda,--,Independent district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Amaro Special Woreda,--,Independent district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Basketo Special Woreda,--,Independent district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Burji Special Woreda,--,Independent district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Dirashe Special Woreda,--,Independent district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Konso Special Woreda,--,Independent district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Konta Special Woreda (formerly known as Ela),--,Independent district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Yem Special Woreda,--,Independent district/woredas
"Southern Nations, Nationalities, and Peoples' Region",Bero (woreda),Bench Maji Zone,
"Southern Nations, Nationalities, and Peoples' Region",Debub Bench,Bench Maji Zone,
"Southern Nations, Nationalities, and Peoples' Region",Guraferda,Bench Maji Zone,
"Southern Nations, Nationalities, and Peoples' Region",Maji (woreda) (formerly known as Dizi),Bench Maji Zone,
"Southern Nations, Nationalities, and Peoples' Region",Meinit Goldiya,Bench Maji Zone,
"Southern Nations, Nationalities, and Peoples' Region",Meinit Shasha,Bench Maji Zone,
"Southern Nations, Nationalities, and Peoples' Region",Mizan Aman (town),Bench Maji Zone,
"Southern Nations, Nationalities, and Peoples' Region",Semien Bench,Bench Maji Zone,
"Southern Nations, Nationalities, and Peoples' Region",She Bench,Bench Maji Zone,
"Southern Nations, Nationalities, and Peoples' Region",Sheko (woreda),Bench Maji Zone,
"Southern Nations, Nationalities, and Peoples' Region",Surma (woreda),Bench Maji Zone,
"Southern Nations, Nationalities, and Peoples' Region",Gena Bosa,Dawro Zone,
"Southern Nations, Nationalities, and Peoples' Region",Isara (woreda),Dawro Zone,
"Southern Nations, Nationalities, and Peoples' Region",Loma (woreda),Dawro Zone,
"Southern Nations, Nationalities, and Peoples' Region",Mareka,Dawro Zone,
"Southern Nations, Nationalities, and Peoples' Region",Tocha (woreda),Dawro Zone,
"Southern Nations, Nationalities, and Peoples' Region",Arba Minch (town),Gamo Gofa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Arba Minch Zuria,Gamo Gofa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Bonke,Gamo Gofa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Boreda,Gamo Gofa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Chencha (woreda),Gamo Gofa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Dita (woreda),Gamo Gofa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Deramalo,Gamo Gofa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Demba Gofa,Gamo Gofa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Geze Gofa,Gamo Gofa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Kemba (woreda),Gamo Gofa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Kucha (woreda),Gamo Gofa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Melokoza,Gamo Gofa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Mirab Abaya,Gamo Gofa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Oyda,Gamo Gofa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Sawla (town),Gamo Gofa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Uba Debretsehay,Gamo Gofa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Zala (woreda),Gamo Gofa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Bule,Gedeo Zone,
"Southern Nations, Nationalities, and Peoples' Region",Dila (town),Gedeo Zone,
"Southern Nations, Nationalities, and Peoples' Region",Dila Zuria,Gedeo Zone,
"Southern Nations, Nationalities, and Peoples' Region",Gedeb,Gedeo Zone,
"Southern Nations, Nationalities, and Peoples' Region",Kochere,Gedeo Zone,
"Southern Nations, Nationalities, and Peoples' Region",Wenago (woreda),Gedeo Zone,
"Southern Nations, Nationalities, and Peoples' Region",Yirgachefe (woreda),Gedeo Zone,
"Southern Nations, Nationalities, and Peoples' Region",Abeshge,Gurage Zone,
"Southern Nations, Nationalities, and Peoples' Region",Butajira (town),Gurage Zone,
"Southern Nations, Nationalities, and Peoples' Region",Cheha,Gurage Zone,
"Southern Nations, Nationalities, and Peoples' Region",Endegagn,Gurage Zone,
"Southern Nations, Nationalities, and Peoples' Region",Enemorina Eaner,Gurage Zone,
"Southern Nations, Nationalities, and Peoples' Region",Ezha,Gurage Zone,
"Southern Nations, Nationalities, and Peoples' Region",Geta (woreda),Gurage Zone,
"Southern Nations, Nationalities, and Peoples' Region",Gumer,Gurage Zone,
"Southern Nations, Nationalities, and Peoples' Region",Kebena,Gurage Zone,
"Southern Nations, Nationalities, and Peoples' Region",Kokir Gedebano,Gurage Zone,
"Southern Nations, Nationalities, and Peoples' Region",Mareko (woreda),Gurage Zone,
"Southern Nations, Nationalities, and Peoples' Region",Meskane,Gurage Zone,
"Southern Nations, Nationalities, and Peoples' Region",Muhor Na Aklil,Gurage Zone,
"Southern Nations, Nationalities, and Peoples' Region",Soddo (woreda),Gurage Zone,
"Southern Nations, Nationalities, and Peoples' Region",Welkite (town),Gurage Zone,
"Southern Nations, Nationalities, and Peoples' Region",Ana Lemo,Hadiya Zone,
"Southern Nations, Nationalities, and Peoples' Region",Duna (woreda),Hadiya Zone,
"Southern Nations, Nationalities, and Peoples' Region",Gibe (woreda),Hadiya Zone,
"Southern Nations, Nationalities, and Peoples' Region",Gomibora,Hadiya Zone,
"Southern Nations, Nationalities, and Peoples' Region",Hosaena (town),Hadiya Zone,
"Southern Nations, Nationalities, and Peoples' Region",Limo (woreda),Hadiya Zone,
"Southern Nations, Nationalities, and Peoples' Region",Mirab Badawacho,Hadiya Zone,
"Southern Nations, Nationalities, and Peoples' Region",Misha (woreda),Hadiya Zone,
"Southern Nations, Nationalities, and Peoples' Region",Misraq Badawacho,Hadiya Zone,
"Southern Nations, Nationalities, and Peoples' Region",Shashogo,Hadiya Zone,
"Southern Nations, Nationalities, and Peoples' Region",Soro (woreda),Hadiya Zone,
"Southern Nations, Nationalities, and Peoples' Region",Bita,Keffa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Bonga (town),Keffa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Chena (woreda),Keffa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Cheta (woreda),Keffa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Decha,Keffa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Gesha,Keffa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Gewata,Keffa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Ginbo,Keffa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Menjiwo,Keffa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Sayilem,Keffa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Telo,Keffa Zone,
"Southern Nations, Nationalities, and Peoples' Region",Angacha (woreda),Kembata Tembaro Zone,
"Southern Nations, Nationalities, and Peoples' Region",Damboya (woreda),Kembata Tembaro Zone,
"Southern Nations, Nationalities, and Peoples' Region",Doyogena (woreda),Kembata Tembaro Zone,
"Southern Nations, Nationalities, and Peoples' Region",Durame (town),Kembata Tembaro Zone,
"Southern Nations, Nationalities, and Peoples' Region",Hadero Tunto,Kembata Tembaro Zone,
"Southern Nations, Nationalities, and Peoples' Region",Kacha Bira,Kembata Tembaro Zone,
"Southern Nations, Nationalities, and Peoples' Region",Kedida Gamela,Kembata Tembaro Zone,
"Southern Nations, Nationalities, and Peoples' Region",Tembaro,Kembata Tembaro Zone,
"Southern Nations, Nationalities, and Peoples' Region",Anderacha (woreda),Sheka Zone,
"Southern Nations, Nationalities, and Peoples' Region",Masha (woreda),Sheka Zone,
"Southern Nations, Nationalities, and Peoples' Region",Yeki,Sheka Zone,
"Southern Nations, Nationalities, and Peoples' Region",Aleta Wendo (woreda),Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Arbegona (woreda),Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Aroresa,Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Awasa Zuria,Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Bensa,Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Bona Zuria,Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Boricha (woreda),Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Bursa (woreda),Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Chere (woreda),Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Chuko (woreda),Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Dale (woreda),Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Dara (woreda),Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Gorche,Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Hula (woreda),Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Loko Abaya,Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Malga,Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Shebedino,Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Wensho,Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Wondo Genet,Sidama Zone,
"Southern Nations, Nationalities, and Peoples' Region",Alicho Werero,Silti Zone,
"Southern Nations, Nationalities, and Peoples' Region",Dalocha,Silti Zone,
"Southern Nations, Nationalities, and Peoples' Region",Lanfro,Silti Zone,
"Southern Nations, Nationalities, and Peoples' Region",Mirab Azernet Berbere,Silti Zone,
"Southern Nations, Nationalities, and Peoples' Region",Misraq Azernet Berbere,Silti Zone,
"Southern Nations, Nationalities, and Peoples' Region",Sankurra,Silti Zone,
"Southern Nations, Nationalities, and Peoples' Region",Silte,Silti Zone,
"Southern Nations, Nationalities, and Peoples' Region",Wulbareg,Silti Zone,
"Southern Nations, Nationalities, and Peoples' Region",Bako Gazer,South Omo Zone,
"Southern Nations, Nationalities, and Peoples' Region",Bena Tsemay,South Omo Zone,
"Southern Nations, Nationalities, and Peoples' Region",Gelila (woreda),South Omo Zone,
"Southern Nations, Nationalities, and Peoples' Region",Hamer (woreda),South Omo Zone,
"Southern Nations, Nationalities, and Peoples' Region",Kuraz,South Omo Zone,
"Southern Nations, Nationalities, and Peoples' Region",Male (woreda),South Omo Zone,
"Southern Nations, Nationalities, and Peoples' Region",Nyangatom (woreda),South Omo Zone,
"Southern Nations, Nationalities, and Peoples' Region",Selamago,South Omo Zone,
"Southern Nations, Nationalities, and Peoples' Region",Boloso Bombe,Wolayita Zone,
"Southern Nations, Nationalities, and Peoples' Region",Boloso Sore,Wolayita Zone,
"Southern Nations, Nationalities, and Peoples' Region",Damot Gale,Wolayita Zone,
"Southern Nations, Nationalities, and Peoples' Region",Damot Pulasa,Wolayita Zone,
"Southern Nations, Nationalities, and Peoples' Region",Damot Sore,Wolayita Zone,
"Southern Nations, Nationalities, and Peoples' Region",Damot Weyde,Wolayita Zone,
"Southern Nations, Nationalities, and Peoples' Region",Diguna Fango,Wolayita Zone,
"Southern Nations, Nationalities, and Peoples' Region",Humbo,Wolayita Zone,
"Southern Nations, Nationalities, and Peoples' Region",Kindo Didaye,Wolayita Zone,
"Southern Nations, Nationalities, and Peoples' Region",Kindo Koysha,Wolayita Zone,
"Southern Nations, Nationalities, and Peoples' Region",Offa (woreda),Wolayita Zone,
"Southern Nations, Nationalities, and Peoples' Region",Sodo (town),Wolayita Zone,
"Southern Nations, Nationalities, and Peoples' Region",Sodo Zuria,Wolayita Zone,
"Southern Nations, Nationalities, and Peoples' Region",Awasa,Awasa Special Zone,
Tigray Region,Abergele (woreda),Central Tigray Zone,
Tigray Region,Adwa (woreda),Central Tigray Zone,
Tigray Region,Degua Tembien,Central Tigray Zone,
Tigray Region,Enticho (woreda),Central Tigray Zone,
Tigray Region,Kola Tembien,Central Tigray Zone,
Tigray Region,La'ilay Maychew,Central Tigray Zone,
Tigray Region,Mereb Lehe,Central Tigray Zone,
Tigray Region,Naeder Adet,Central Tigray Zone,
Tigray Region,Tahtay Maychew,Central Tigray Zone,
Tigray Region,Werie Lehe,Central Tigray Zone,
Tigray Region,Atsbi Wenberta,East Tigray Zone,
Tigray Region,Ganta Afeshum,East Tigray Zone,
Tigray Region,Gulomahda,East Tigray Zone,
Tigray Region,Hawzen (woreda),East Tigray Zone,
Tigray Region,Irob (woreda),East Tigray Zone,
Tigray Region,Saesi Tsaedaemba,East Tigray Zone,
Tigray Region,Wukro (woreda),East Tigray Zone,
Tigray Region,Asigede Tsimbela,North West Tigray Zone,
Tigray Region,La'ilay Adiyabo,North West Tigray Zone,
Tigray Region,Medebay Zana,North West Tigray Zone,
Tigray Region,Tahtay Adiyabo,North West Tigray Zone,
Tigray Region,Tahtay Koraro,North West Tigray Zone,
Tigray Region,Tselemti,North West Tigray Zone,
Tigray Region,Alaje,South Tigray Zone,
Tigray Region,Alamata (woreda),South Tigray Zone,
Tigray Region,Endamehoni,South Tigray Zone,
Tigray Region,Ofla,South Tigray Zone,
Tigray Region,Raya Azebo,South Tigray Zone,
Tigray Region,Enderta (woreda),South East Tigray Zone,
Tigray Region,Hintalo Wajirat,South East Tigray Zone,
Tigray Region,Samre (woreda),South East Tigray Zone,
Tigray Region,Kafta Humera,West Tigray Zone,
Tigray Region,Tsegede,West Tigray Zone,
Tigray Region,Wolqayt,West Tigray Zone,
Tigray Region,Mek'ele,Mekele Special Zone,
,,,
,,,
"For other information, kindly visit : www.downloadexcelfiles.com",,,
